"BLD_NM","GRND_FLR","HEIGHT","height2","geometry"
\N,"15","55.1","52.5","POLYGON ((126.9862540686105 37.575489540043755, 126.98625893973056 37.575472872409755, 126.9863155391218 37.57548261037447, 126.98633366363696 37.57542314754979, 126.986349173206 37.575419185199955, 126.98636649472779 37.57541170923037, 126.98637577900502 37.57540351143777, 126.98638030836888 37.57539729520673, 126.98638212041327 37.57539333109521, 126.98638336664497 37.57538837582518, 126.9863841597561 37.57538495217532, 126.98638438681778 37.57538170865033, 126.986384727319 37.57537729385648, 126.98638484075857 37.57537612258761, 126.98638303081182 37.575369725346114, 126.98638155950651 37.57536810338041, 126.98637182760663 37.575350713078265, 126.98635258483517 37.57534251162371, 126.98637025711582 37.57527989527847, 126.98630992281356 37.575267093501765, 126.98631082967894 37.575260966905226, 126.98607525355989 37.57521525626797, 126.98607209288815 37.57522651819533, 126.98601706734719 37.57521623972776, 126.98599939386973 37.5752832708582, 126.9859709796422 37.57528524929136, 126.98595558322717 37.57528948190272, 126.98595048819732 37.57529389606851, 126.98594698939684 37.5752979500497, 126.98594529040287 37.57530254486057, 126.98594472375248 37.57530560814248, 126.98594482510934 37.57530813092018, 126.98594540120372 37.57531407751209, 126.98594709729016 37.575323448003246, 126.9859500394113 37.57532894441355, 126.98595264203784 37.575333900186635, 126.9859602247702 37.57534273086131, 126.98597844717789 37.57535814014343, 126.9859587365279 37.57542255813501, 126.98600899679096 37.575430853831506, 126.98600661607736 37.575447521782564, 126.9862540686105 37.575489540043755))"
\N,"15","61.65","52.5","POLYGON ((127.11498306906775 37.51603645252545, 127.11448835780425 37.51621596359738, 127.11462049418259 37.51645424066753, 127.11509837019663 37.51628618788586, 127.11498306906775 37.51603645252545))"
\N,"15","66.3","52.5","POLYGON ((126.89860132346942 37.51403745941284, 126.89864245154706 37.51405296534449, 126.8986511494445 37.514036664886405, 126.89873077415791 37.51406477320291, 126.89882036165002 37.51390466299246, 126.89854817086749 37.51380858706148, 126.89846878675543 37.5139512626811, 126.89862086838284 37.514004842354154, 126.89860132346942 37.51403745941284))"
\N,"15","57.3","52.5","POLYGON ((126.95109635934917 37.481905675627, 126.95131613100759 37.48188450556475, 126.95131867070543 37.4818907595943, 126.95183967829706 37.48184250590054, 126.95182625578325 37.48174328196672, 126.9518041739436 37.48174477735119, 126.95180013115926 37.48172045761832, 126.95182081168444 37.4817179795536, 126.95180623961862 37.48161328605239, 126.95157402039746 37.4816351725683, 126.95157506616223 37.4816437415352, 126.95121435806716 37.48167475417375, 126.9512279219663 37.481764229401406, 126.95107810389746 37.481782023395496, 126.95109635934917 37.481905675627))"
\N,"15","52.8","52.5","POLYGON ((126.9510638241555 37.48184944825422, 126.95104148933598 37.481689096480714, 126.95066054048961 37.481723603676244, 126.9506813605876 37.481882324056144, 126.9510638241555 37.48184944825422))"
\N,"15","71.8","52.5","POLYGON ((126.95241587958509 37.4808298677529, 126.95241401463338 37.48077721243873, 126.95205464696889 37.48082262621252, 126.95205749713755 37.48083816968472, 126.95192513242242 37.480983490827924, 126.95189821566142 37.48103050280507, 126.95191934848762 37.48118160064389, 126.95213491864 37.481167446094496, 126.95242017605707 37.48084684441012, 126.95241587958509 37.4808298677529))"
\N,"15","53.53","52.5","POLYGON ((126.947294851381 37.482232065005086, 126.94727658479175 37.48211673744373, 126.94731011003469 37.48211336506269, 126.94730121868879 37.48205726463124, 126.94726769347045 37.48206063700979, 126.94726551005417 37.4820468326646, 126.94709788394148 37.482063703421716, 126.94710895852535 37.482133608216245, 126.94714360317926 37.48213011926766, 126.9471618808736 37.48224544685436, 126.947294851381 37.482232065005086))"
\N,"15","76.54","52.5","POLYGON ((127.04057051067925 37.46693234908235, 127.04014822883146 37.46664191412225, 127.04009226838761 37.46669543401576, 127.04018008555566 37.46675650239258, 127.0401610128997 37.46677255551074, 127.04019617995253 37.46679591604683, 127.04021452857917 37.46677873690527, 127.04038981230376 37.46689946795876, 127.0403716219422 37.46691664707515, 127.04040501412368 37.46693944049961, 127.04042461776288 37.4669228285453, 127.04051226502904 37.46698220284146, 127.04057051067925 37.46693234908235))"
\N,"15","63.6","52.5","POLYGON ((127.02080726822564 37.495569017213114, 127.02081556409946 37.49555212211727, 127.02082316357186 37.4955535264349, 127.02083905231228 37.495512420239066, 127.02083286636574 37.49551100668137, 127.0208487548736 37.49546905354442, 127.0208388596291 37.495466802664296, 127.02086304266291 37.495402881799414, 127.02079201158523 37.49538572035804, 127.02079289246504 37.49538121521659, 127.02077787448748 37.49537840654731, 127.02077999811006 37.49536939620558, 127.02069430002472 37.495350822526575, 127.02065103921662 37.49545613836763, 127.02063901789616 37.495453320185426, 127.02062100520016 37.49550259876396, 127.02063497182183 37.49550653387265, 127.0206317853523 37.49551611201324, 127.02062118907115 37.49551414053819, 127.02059010771971 37.49557778315639, 127.02078113028819 37.4956388489403, 127.02081398616744 37.49557239486419, 127.02080726822564 37.495569017213114))"
\N,"15","64.62","52.5","POLYGON ((127.03212178544612 37.487818946198054, 127.0319926210666 37.4877809663654, 127.03188687607762 37.48800033319973, 127.03201640283464 37.488038871673346, 127.03212178544612 37.487818946198054))"
