"도로명","링크아이디","시점명","종점명","거리","차선수","평균속도","좌표"
"과천대로","1210008000","사당역","과천대로과천시계","2240","4","30.320201484895033","LINESTRING(198370.639967 441901.6607, 198370.244503 441825.717013, 198379.399195 441746.611539, 198399.94858 441654.374938, 198422.786021 441575.519553, 198484.641711 441413.067942, 198534.408391 441296.708922, 198564.931039 441240.199795, 198601.582114 441181.739629, 198656.460636 441113.342204, 198838.781543 440912.063983, 198899.89376 440810.432147, 198932.506229 440714.453079, 198951.281337 440617.342584, 198954.642906 440551.580069, 198948.616773 440467.622221, 198930.10198 440358.206577, 198889.487105 440161.197307, 198884.494773 440108.27976, 198884.875801 440054.220862, 198917.60185 439959.999235, 198982.706498 439851.552272)"
"과천대로","1210008100","과천대로과천시계","사당역","2233","4","21.735157802099334","LINESTRING(198992.994887 439857.728765, 198928.529837 439965.110326, 198896.86154 440056.286582, 198896.498754 440107.757167, 198901.37243 440159.416986, 198941.898057 440355.993345, 198960.544724 440466.188312, 198966.664897 440551.456355, 198963.222766 440618.794915, 198944.132268 440717.536702, 198910.841418 440815.512257, 198848.461801 440919.251824, 198665.595545 441121.132099, 198611.378532 441188.705058, 198575.304591 441246.244667, 198545.226555 441301.930647, 198495.770126 441417.564271, 198434.175568 441579.330072, 198411.579594 441657.351695, 198391.247839 441748.611455, 198382.248107 441826.377925, 198382.639804 441901.598213)"
"관악로","1200000700","관악구청","서울대입구","1481","3","26.587354270673323","LINESTRING(195776.125096 442141.460393, 195772.618003 442060.561135, 195774.113743 442025.105697, 195846.265809 441556.626678, 195836.398224 441442.768328, 195730.297863 441083.27059, 195713.834203 441045.656919, 195684.879787 441006.950082, 195654.865871 440982.074957, 195563.022801 440919.576367, 195498.930351 440900.21078, 195461.624026 440900.21078, 195404.870788 440912.910805)"
"관악로","1200000800","서울대입구","관악구청","1537","3","26.31399500768049","LINESTRING(195379.073861 440851.395057, 195404.473912 440844.648169, 195439.795857 440849.410678, 195510.836625 440871.238847, 195570.764869 440904.179538, 195662.086219 440972.473459, 195693.634843 440998.620527, 195724.272282 441039.577263, 195741.593486 441079.150123, 195848.249172 441440.529458, 195858.345541 441557.02765, 195786.075068 442026.275481, 195784.628971 442060.554152, 195788.113836 442140.940665)"
"관악로","1200003300","서울대입구역","관악구청","290","3","22.53507415674603","LINESTRING(195818.332303 442428.447219, 195803.121498 442367.176585, 195776.16198 442141.913522)"
"관악로","1200003400","관악구청","서울대입구역","289","3","21.750414618535586","LINESTRING(195788.076952 442140.487536, 195814.947786 442365.009589, 195829.978777 442425.555911)"
"관악로","1200004900","봉천로사거리","서울대입구역","98","4","17.863599374359957","LINESTRING(195857.216304 442517.920264, 195834.796079 442478.741263, 195827.242262 442457.185223, 195818.425251 442428.78027)"
"관악로","1200005000","서울대입구역","봉천로사거리","95","4","25.64684454205069","LINESTRING(195829.885829 442425.222861, 195838.638655 442453.421038, 195845.757313 442473.735282, 195867.631529 442511.96014)"
"관악로","1200006700","은천삼거리","봉천로사거리","475","4","21.02794187628008","LINESTRING(196119.128198 442914.853637, 195912.736465 442602.267961, 195857.412568 442518.239654)"
"관악로","1200006800","봉천로사거리","은천삼거리","475","4","30.498742607526882","LINESTRING(195867.435265 442511.64075, 195922.754847 442595.662503, 196129.142256 442908.241629)"
